[2025-08-20T09:33:43.696+0530][gc,init] CardTable entry size: 512
[2025-08-20T09:33:43.697+0530][gc     ] Using G1
[2025-08-20T09:33:44.141+0530][gc,init] Version: 21.0.4+7-LTS (release)
[2025-08-20T09:33:44.141+0530][gc,init] CPUs: 12 total, 12 available
[2025-08-20T09:33:44.141+0530][gc,init] Memory: 15591M
[2025-08-20T09:33:44.141+0530][gc,init] Large Page Support: Disabled
[2025-08-20T09:33:44.141+0530][gc,init] NUMA Support: Disabled
[2025-08-20T09:33:44.141+0530][gc,init] Compressed Oops: Enabled (Zero based)
[2025-08-20T09:33:44.142+0530][gc,init] Heap Region Size: 32M
[2025-08-20T09:33:44.142+0530][gc,init] Heap Min Capacity: 6G
[2025-08-20T09:33:44.142+0530][gc,init] Heap Initial Capacity: 6G
[2025-08-20T09:33:44.142+0530][gc,init] Heap Max Capacity: 12G
[2025-08-20T09:33:44.142+0530][gc,init] Pre-touch: Enabled
[2025-08-20T09:33:44.142+0530][gc,init] Parallel Workers: 10
[2025-08-20T09:33:44.142+0530][gc,init] Concurrent Workers: 3
[2025-08-20T09:33:44.142+0530][gc,init] Concurrent Refinement Workers: 10
[2025-08-20T09:33:44.142+0530][gc,init] Periodic GC: Disabled
[2025-08-20T09:33:44.142+0530][gc,metaspace] CDS archive(s) not mapped
[2025-08-20T09:33:44.142+0530][gc,metaspace] Compressed class space mapped at: 0x0000000800000000-0x0000000834000000, reserved size: 872415232
[2025-08-20T09:33:44.142+0530][gc,metaspace] Narrow klass base: 0x0000000800000000, Narrow klass shift: 0, Narrow klass range: 0x34000000
[2025-08-20T09:33:48.623+0530][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:33:48.624+0530][gc,task     ] GC(0) Using 10 workers of 10 for evacuation
[2025-08-20T09:33:48.635+0530][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:33:48.635+0530][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:48.635+0530][gc,phases   ] GC(0)   Evacuate Collection Set: 9.2ms
[2025-08-20T09:33:48.635+0530][gc,phases   ] GC(0)   Post Evacuate Collection Set: 1.6ms
[2025-08-20T09:33:48.635+0530][gc,phases   ] GC(0)   Other: 1.1ms
[2025-08-20T09:33:48.635+0530][gc,heap     ] GC(0) Eden regions: 9->0(8)
[2025-08-20T09:33:48.635+0530][gc,heap     ] GC(0) Survivor regions: 0->1(2)
[2025-08-20T09:33:48.635+0530][gc,heap     ] GC(0) Old regions: 0->0
[2025-08-20T09:33:48.635+0530][gc,heap     ] GC(0) Humongous regions: 0->0
[2025-08-20T09:33:48.635+0530][gc,metaspace] GC(0) Metaspace: 40368K(40768K)->40368K(40768K) NonClass: 35485K(35712K)->35485K(35712K) Class: 4882K(5056K)->4882K(5056K)
[2025-08-20T09:33:48.635+0530][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 288M->20M(6144M) 12.835ms
[2025-08-20T09:33:48.635+0530][gc,cpu      ] GC(0) User=0.02s Sys=0.12s Real=0.01s
[2025-08-20T09:33:50.044+0530][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:33:50.044+0530][gc,task     ] GC(1) Using 10 workers of 10 for evacuation
[2025-08-20T09:33:50.064+0530][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:33:50.064+0530][gc,phases   ] GC(1)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:50.064+0530][gc,phases   ] GC(1)   Evacuate Collection Set: 17.9ms
[2025-08-20T09:33:50.064+0530][gc,phases   ] GC(1)   Post Evacuate Collection Set: 2.0ms
[2025-08-20T09:33:50.064+0530][gc,phases   ] GC(1)   Other: 0.1ms
[2025-08-20T09:33:50.064+0530][gc,heap     ] GC(1) Eden regions: 8->0(7)
[2025-08-20T09:33:50.064+0530][gc,heap     ] GC(1) Survivor regions: 1->2(2)
[2025-08-20T09:33:50.064+0530][gc,heap     ] GC(1) Old regions: 0->1
[2025-08-20T09:33:50.064+0530][gc,heap     ] GC(1) Humongous regions: 0->0
[2025-08-20T09:33:50.064+0530][gc,metaspace] GC(1) Metaspace: 53536K(54144K)->53536K(54144K) NonClass: 47289K(47616K)->47289K(47616K) Class: 6247K(6528K)->6247K(6528K)
[2025-08-20T09:33:50.064+0530][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 276M->88M(6144M) 20.737ms
[2025-08-20T09:33:50.064+0530][gc,cpu      ] GC(1) User=0.02s Sys=0.12s Real=0.02s
[2025-08-20T09:33:51.710+0530][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2025-08-20T09:33:51.710+0530][gc,task     ] GC(2) Using 10 workers of 10 for evacuation
[2025-08-20T09:33:51.746+0530][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.2ms
[2025-08-20T09:33:51.746+0530][gc,phases   ] GC(2)   Merge Heap Roots: 0.1ms
[2025-08-20T09:33:51.746+0530][gc,phases   ] GC(2)   Evacuate Collection Set: 32.1ms
[2025-08-20T09:33:51.746+0530][gc,phases   ] GC(2)   Post Evacuate Collection Set: 2.8ms
